"Table Name","Column Name","Data Type","Is Nullable",Default,Key,Extra
api,sender_mobile,text,NO,,,
api,subject,text,NO,,,
api,sender_state,text,NO,,,
api,generated_date,text,NO,,,
api,generated,text,NO,,,
api,sender_name,text,NO,,,
api,sender_city,text,NO,,,
api,message,text,NO,,,
api,lead_id,int,NO,,PRI,auto_increment
api,query_id,double,NO,,UNI,
api,status,text,NO,,,
api,lead_source,text,NO,,,
api,work_id,int,NO,,,
api,dated,date,NO,current_timestamp(),,
app_menu,id,int,NO,,PRI,auto_increment
app_menu,role,text,NO,,,
app_menu,app_menu_id,int,NO,,MUL,
app_menu_master,id,int,NO,,PRI,auto_increment
app_menu_master,menu_name,text,NO,,,
app_menu_master,menu_url,text,NO,,,
app_menu_master,menu_icon,text,NO,,,
app_menu_master,menu_id,text,NO,,,
app_menu_master,iswebview,text,NO,,,
attendance,id,int,NO,,PRI,auto_increment
attendance,phone_id,text,NO,,,
attendance,login_time,double,NO,,,
attendance,logout_time,double,NO,,,
attendance,dated,double,NO,,,
call_log,phone_id,text,NO,,,
call_log,phone_number,text,NO,,,
call_log,call_type,text,NO,,,
call_log,call_duration,int,NO,,,
call_log,call_date,double,NO,,UNI,
call_log,call_name,text,NO,,,
call_log,log_id,int,NO,,PRI,auto_increment
company,company_name,text,NO,,,
company,company_address,text,NO,,,
company,company_bank,text,NO,,,
company,company_terms,text,NO,,,
company,company_logo,text,NO,,,
company,id,int,NO,,PRI,auto_increment
company,gst,text,NO,,,
company,company_logo1,text,NO,,,
company,company_terms_q,text,NO,,,
company,company_terms_pi,text,NO,,,
company,pino_seq,text,NO,,,
company,ino_seq,text,NO,,,
company,qno_seq,text,NO,,,
customer,cus_name,text,NO,,,
customer,cus_address,text,NO,,,
customer,cus_lead_source,text,NO,,,
customer,cus_location,text,NO,,,
customer,cus_phone,varchar,NO,,UNI,
customer,cus_id,int,NO,,PRI,auto_increment
customer,cus_aphone,varchar,NO,,,
customer,cus_place,text,NO,,,
customer,cus_state,text,NO,,,
customer,cus_lang,text,NO,,,
customer,cus_exp,text,NO,,,
customer,cus_tmodel,text,NO,,,
customer,cus_imp,text,NO,,,
customer,cus_sub,text,NO,,,
customer,cus_usecase,text,NO,,,
customer,cus_showroom,text,NO,,,
customer,cus_oproduct,text,NO,,,
customer,cus_category,text,NO,,,
customer,cus_gst,text,NO,,,
customer,cus_type,text,NO,,,
customer,cus_company_name,text,NO,,,
customer,cus_email,text,NO,,,
customer,cus_need,text,NO,,,
dealer,did,int,NO,,PRI,auto_increment
dealer,dname,text,NO,,,
dealer,dphone,text,NO,,,
dealer,daddr,text,NO,,,
dealer,dpass,text,NO,,,
dealer,dstatus,text,NO,,,
dealer_delivery,deid,int,NO,,PRI,auto_increment
dealer_delivery,cus_name,text,NO,,,
dealer_delivery,cus_phone,text,NO,,,
dealer_delivery,cus_addr,text,NO,,,
dealer_delivery,chasis_no,text,NO,,UNI,
dealer_delivery,dimage,text,NO,,,
dealer_delivery,implement,text,NO,,,
dealer_delivery,model,text,NO,,,
dealer_delivery,ext_warranty,text,NO,,,
