Name,"Part No"
"001 BC Drive Assembly",
"001 CS Drive Assembly",
"001 ECC Frame Assembly",
"001 FC Gear Assembly",
"001 HR Frame Assembly",
"001 HR Gear Assembly",
"001 ML Gearbox Assembly",
"001 RF Gear Box Assembly",
"001 Roller Ass 310","BOM Roller Ass 310"
"001 Roller Assambly 112",
"001 Roller Assembly 212",
"001 Roller Assmbly 312",
"001 RP Gear Box Assembly",
"001 RT Gear Assembly",
"001 RTM Gear Assembly",
"002 Bc Frame Assembly",
"002 CS Door Assembly",
"002 ECC Stand Assembly",
"002 FC Drum Assembly",
"002 Gear Ass 310",
"002 Gear Assambly 112",
"002 Gear Assambly 312",
"002 Gear Assembly 212 4G",
"002 HR Wheel Assembly",
"002 ML Drive Assembly",
"002 RF Side Drive Assembly",
"002 RP Drive Assembly",
"002 RTM Side Drive Assembly",
"002 RT Side Drive Assembly",
"003 BC Back Door Assembly",
"003 CS Mulching Unit Assembly",
"003 ECC Cutting Wheel Assembly",
"003 FC Feeder Assembly",
"003 HR Housing Assembly",
"003 Hydralic Assambly 112",
"003 Hydralic Assambly 212",
"003 Hydralic Assambly 312",
"003 Hydraulic Ass 310",
"003 ML Rotary Assembly",
"003 RF Rotary Assembly",
"003 RP Rotary Assembly",
"003 RTM Rotary Assembly",
"003 RT Rotary Assembly",
"004 CS Frame Assembly",
"004 ECC Feeder Assembly",
"004 FC Realer Assembly",
"004 HR CAM Assembly",
"004 ML Back Door Assembly",
"004 RF Door Assembly",
"004 RP Disc Plaster Assembly",
"004 RT Door Assembly",
"004 RTM Door Assembly",
"004 Scal Assambly 212",
"004 Scal Assambly 312",
"004 Scale Assambly 112",
"004 Scale Assembly 310",
"005 FC Side Cutter Assembly",
"005 Loader Ass 310",
"005 Loader Ass 312 4G+",
"005 Loader Assambly 112",
"005 Loader Assambly 212",
"005 Loader Assambly 312",
"005 Loader Assy 310 4G+",
"005 ML Frame Assembly",
"005 RP Frame Assembly",
"006 Door Assambly 112",
"006 Door Assambly 212",
"006 Door Assambly 312",
"006 Door Assembly 310",
"006 FC Transmission Assembly",
"008 Frame Assy",
"008 Gear Ass 3 Ex-4G",
"009 Free Spares",
01,
"1102 Multi Gear Box Back Cover",
"16mm Drill Bit",
"2HP Compressor 1Phase - 165Litre",
"50H-1 R Chain JRB310 64P+Connecting Link",
"50H-1 R CHAIN JRB 312 40 +1 Connecting Link",
"7/16 * 11/4 BSF Bolt",
"7/16 BSF Sunloc Nut",
"9 Arm Cultivator JCR 982",
A,"BR 5137"
"Acrylic Sheet 2mm x 450 x 327",
"AIR COOLED SERVO VOLTAGE STABILIZER",
"Arch Bending Pipe 20 Square",
"Axle Nut M28 x 1.1/2""",
"B 1702 M16x28MM",
"B 1704 M16x32MM",
"B 1706 M16x38MM",
"B 1707 M16x40MM",
"B 1707 Wheel Shaft",
"B 1708 Holder Pin",
"B 1711 M16x60MM",
"B 1711 M16x60MM HALF",
"B 1712 M16x65MM",
"B 1714 M16x75MM",
"B 1715 M16x80MM",
"B 1716 M16x85MM",
"B1717 M16X90",
"B 1721 Seal Kit 25/40mm",
"B1727 M16 X 140 H.Bolt",8433
"B 1740 EN8 Rod Dia90mm",
"B 1781 M16x30MM CSK",
"B 1784 M16x45MM CSK",
"B 1785 M16x50MM CSK",
"B 1786 M16x55MM CSK",
"B 1787 M16x60MM CSK",
"B 1788 M16x65MM CSK",
"B 1789 M16x70MM CSK",
"B  7042 OIL Seal 25-42-10",
"B782 M16x35MM CSK",
"B80 Circlip",
"Baler Bearing Items",
"Baler Bolts & Nuts BOM Items",
"Baler Chain Items",
"Baler Die Press Items",
"Baler Machining Items",
"Baler Pipe Items",
"Baler Sensor Items",
"Baler Shaft Items",
"Baler Spring Items",
"Baler Sprocket Items",
"BC 1001 Blade Plate Assy","BC 1001"
"BC 1002 Pto Cover Assy","BC 1002"
"BC 1003 Blade Cover Assy","BC 1003"
"BC 1004 Frame Full Assy","BC 1004"
