S.No,"Part No","Part Name"
1,"001 HR","Gear Assembly"
2,"BR 1001","A Main Roller 3.5F 206"
3,"BR 1002A","Center Roller - 3.5 206"
4,"BR 1003A","Support Roller - 3.5F 206"
5,"BR 1011","Chain Sprocket 4step"
6,"BR 1029","Roller Cup 1.6mm Cs206"
7,"BR 1004","Roller Cup Bearing Fit 2.5"
8,"BR 1040","Triangle  Bearing Lock Cup 206"
9,"BR 1018","Circlip A 25"
10,"JSS 1410","M10 X 25MM"
11,"JSS 1412","M10 X30MM"
12,"JSS 1306","M8 X 20MM"
13,"JSS 1308","M8 X 25MM"
14,"BR 2080","Shaping Plate Bolt 8x25"
15,"BR 2088","Shaping Plate Bolt 8x30"
16,"BR 2039","Shaping Plate"
17,"JSS 1382M8","SUN LOCK NUT"
18,"BR 2086","R Cotter Pin 2mm"
19,"BR 2072","R Cotter Pin 3mm"
20,"BR 2074","Chain Tighter 6303 Bearing 14T"
21,"BR 5053","6303 Bearing"
22,"BR 2070","Chain Tensan Roller Big 13T"
23,"BR 2085","Bearing 6203 2RS (NBC)"
24,"BR 2076","B-47 Circlip"
25,"BR 2050","Circlip B40"
26,"BR 2049","Circlip A18"
27,"BR 2021","Chain Adj Lever Small"
28,"BR 2003","Chain Adj Lever Big"
29,"BR 2004","Chain Adj Lever Rod Big"
30,"BR 2091","Chain Adj Lever Rod Small"
31,"JSS 1486","M10 H . NUT"
32,"JSS 1487","M10 SUNLOCK NUT"
33,"BR 1014","Door Joint CI"
34,"BR 1033","Door Joint Bearing Fit CS206"
35,"BR 1019","Bearing CS205 2RS"
36,"BR 1030","Bearing CS 206 2RS"
37,"BR 1034","M20 Flange Nut"
38,"BR 1022","Sim Waser 2mm"
39,"BR 2005","Chain Adj Lever Spring"
40,"BR 2006","Chain Adj Lever Coller"
41,"BR 1009","Chain Sprocket 3 Step"
42,"BR 1041","Sprocket 1Step  20T"
43,"BR 1049","Diamond Chain 5/8"
44,"BR 1045","Diamond Chain Lock 5/8"
45,"JSS 1492","Plate Washer M10x25x2mm"
46,"JSS 1386","Plate Washer M8x21x3mm"
47,"BR 1025","Chain Adj Center Roller"
48,"001 Roller","Ass 310"
49,"001 Roller","Assambly 112"
50,"BR 1002B","Center Roller - 2.5F 206"
51,"BR 1001B","Main Roller 2.5F 206"
52,"BR 1003B","Support Roller - 2.5F  206"
53,"BR 1003B1","Support Plain Roller - 2.5F"
54,"JSS 2094","M20 SUN LOCK NUT"
55,"BR 2098","Chain Tension Roller Big 6303 5/8"
56,"BR 1059","Renold Chain 152 Pitch"
57,"BR 1047","Renold Connecting Link Full 5/8"
58,"JSS 1310","M8 X 30MM"
59,"BR 2073","R Cotter Pin 1.6mm"
60,"JSS 1387","M8x1mm Plate Waser"
61,"JSS 1595","M12 SUN LOCK NUT"
62,"BR 2096","Titer Pin Bolt"
63,"JSS 2134","M20 Plate Waser 3mm"
64,"JSS 1599","M12 Plate Waser 25x1.6mm"
65,"BR 1051","Renold  Center Chain 42 Pitch"
66,"JSS 1490","M10 Spring Waser"
67,"JSS 1385","M8 Spring Waser"
68,"BR 1003C","Support Plain Roller - 3F 206"
69,"BR 8000","F Frame"
70,"BR 8000","R Frame"
71,"001 Roller","Assembly 212"
72,"BR 1002","Center Roller 3F 206"
73,"BR 1003","Support Roller 3F- 206"
74,"BR1058 Chain","Sprocket 4 Step 30 Dia 3/4"
75,"BR 1027","3 Step Spracket 3/4"
76,"BR 1057","22T Sprocket 30 Dia"
77,"BR 2094","Chain Tension Roller Big 6303 3/4"
78,"BR 2093","Chain Tension Roller Small 6203 3/4"
79,"JSS 1496","M10 Plate Waser"
80,"BR 1073","Door Joint SI"
81,"BR 2059","Tyre 400x8"
82,"BR 2060","Wheel Tube"
83,"BR 2061","Wheel Disk 400x8"
84,"BR 2062","Wheel Hup"
85,"BR 2063","Wheel Shaft"
86,"BR 2065","Bearing 6205 2Rs"
87,"JSS 1241","M6 X 16MM A"
88,"JSS 1461","M10 X 30MM A"
89,"JSS 1517","M12 X 80MM HALF"
90,"JSS 1797","M16 SUN LOCK NUT"
91,"JSS 1799","M16 Plate Waser"
92,"BR 1052","Main Roller30 Dia 3F"
93,"001 Roller","Assmbly 312"
94,"BR 7061","A Gear Box Flange Single 3.5 Ex 4G RHS"
95,"BR 7060","Housing 4G"
96,"BR 7084","PTO Cover Ex 4G"
97,"BR 7057","PTO Shaft Ex 4G"
98,"BR 7070","Oil Seal 30x52x10"
99,"BR 7047","Oil Seal 40x72x8"
100,"BR 7048","Cirlclip B-72"
101,"BR 7049","OILSEAL 40X72X10"
102,"BR 7069A","Gear Shaft 3.5 4G"
103,"BR 7064","Bevel 19 T New"
104,"BR 7065","Bevel 12 T 4G"
105,"BR 7074","10*10 KEY"
106,"BR 3024","Loader Pipe Waser 1mm"
107,"BR 7037","Bearing 6305 2RS"
108,"BR 7039","Bearing 6206 2 RS"
109,"BR 7071","Bearing 6210ZZ"
110,"BR 7080","Bearing 30207"
111,"BR 7081","Bearing 32210"
112,"BR 7078","Sprocket 16 T Ex 4G"
113,"BR 7079","Chain Sprocket Flang Ex 4G"
114,"BR 7077","Nylon Bush 4G"
115,"BR 7075","Gear Shaft Bush MS Ex 4G"
116,"JSS 1219","M6 X 60MM"
117,"JSS 1268","M6 SUNLOCK NUT"
118,"BR 6005","Spracket 43T"
119,"BR 7050","Oil Dummy"
120,"JSS 1408","M10 X 20MM"
121,"JSS 1511","M12 X 50MM"
122,"JSS 1512M12","X 55MM"
123,"JSS 1418","M10 X 50MM HALF"
124,"JSS 1419","M10 X 55MM HALF"
125,"JSS 1414","M10 X 35MM"
126,"JSS 1317","M8 X 55MM HALF"
127,"BR 2055","Front Stand"
128,"JSS 1446","M10 X 25MM CSK"
129,"JSS 1598","M12 Spring Waser"
130,"002 Gear","Ass 310"
131,"002 Gear","Assambly 112"
132,"BR 7036","Square Lock Plate"
133,"BR 7028",Spracket
134,"BR 7029","Spracket Flange"
135,"BR 7030","Nylon Bush 3G"
136,"BR 5042","Grease Nipple M6"
137,"BR 7033","Joint Hand RHS Set"
138,"BR 7018","Joint Hand LHS 20mm"
139,"BR 7034","Hand Pin"
140,"BR 7035","Sunlock Nut 1"""
141,"BR 7055","1"" Spring Waser"
142,"BR 7020","Bevel Gear 22T"
143,"BR 7021","Bevel Gear 12T"
144,"BR 7085","PTO Shaft J Type"
145,"BR 7008","Gear Shaft 3"
146,"BR 7052","7x7 Key"
147,"BR 7041","Oil Seal 40x62x10"
148,"BR 7042","Oil Seal 25x45x10"
149,"BR 7043","Oil Seal 25x52x10"
150,"BR 7038","Bearing 6205 2RS"
151,"BR 7051","Bearing 6007 2RS"
152,"JSS 1210","M6 X 30MM Half"
153,"JSS 1316","M8 X 50MM"
154,"JSS 1267","M6 H. NUT"
155,"BR 7013","Circlip B62"
156,"BR 1023","Sim Waser 2.5 mm"
157,"BR 1021","Sim Waser 1mm"
158,"BR 1026","Chain Lock Half 3/4"
159,"BR 2067","Wheel Set"
160,"BR 7102","Thred Lock Past Small"
161,"BR 7061","Flange Single 3 Ex 4G RHS"
162,"BR 7069","A Gear Shaft EX-4G"
163,"BR 7096","Bearing 22207"
164,"BR 7095","Bearing 22206 2RS"
165,"BR7078 Sprocket","4G 3/4"
166,"BR 3015","Clutch Cotter Pin"
167,"BR 1015","Chain 3/4"
168,"BR 1016","Chain Lock 3/4"
169,"JSS 1216","M6 X 50MM"
170,"JSS 1507","M12 X 35MM"
171,"JSS 1512","M12X55 Half"
172,"JSS 1513","M12 X 60MM HALF"
173,"BR 7090","PTO Shaft Nut"
174,"BR 1024","Sim Waser 3mm"
175,"BR 7019","Joint Hand 20mm RHS"
176,"BR 7031","PTO Joint"
177,"BR 7091","Anabond Silicon Paste"
178,"BR 7092","Anabond Lock Paste"
179,"BR 7087","140 GEAR OIL"
180,"BR 7068","Flange Single 3 Ex 4G LHS"
181,"002 Gear","Assambly 312"
182,"BR 7101","Gear Shaft 4G 2.5f"
183,"JSS 1509","M12 X 40MM"
184,"BR 1046","Renold Offset Link 5/8"
185,"BR 1042","Renold Offset Link 3/4"
186,"BR 1070","Renold Chain 166 Pitch"
